acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,w,linear_vel_x,linear_vel_y,angular_vel_z,orientation,latitude,longitude,altitude
-0.042734,0.046158,0.992543,-0.103528,-0.033023,0.015979,0.006392,1.323939,-0.490414,10.016671,5.197,-0.002,0.0,1.0,-30.061875903,-51.175915048,31.6592
-0.043103,0.042331,0.992644,-0.104166,0.015979,0.006392,0.049002,3.679007,1.844893,11.743001,5.307,-0.002,0.0,1.0,-30.061876895,-51.175915001,31.659
-0.041425,0.048071,0.992611,-0.103393,-0.034088,0.007457,0.023436,0.941308,4.160439,9.820864,5.417,-0.002,0.0,1.0,-30.06187776,-51.175915157,31.6689
-0.040787,0.048541,0.992543,-0.103427,-0.04048,-0.022371,0.005326,0.314368,0.785022,10.311279,5.527,-0.002,0.0,1.0,-30.061878683,-51.175915012,31.6624
-0.040317,0.047501,0.992644,-0.10383,0.033023,-0.025566,0.037284,-0.246105,-1.049092,9.310689,5.636,-0.002,0.00153,0.999999,-30.061879574,-51.175915003,31.6677
-0.038638,0.046225,0.991536,-0.115008,-0.074569,0.001065,0.224771,-1.029331,3.46344,11.243605,5.734,0.0,0.029831,0.999555,-30.061880526,-51.175915013,31.6573
-0.036859,0.046695,0.987206,-0.147906,-0.049002,0.005326,0.312123,0.71676,-1.501782,9.889127,5.821,0.009,0.070322,0.997524,-30.061881505,-51.175914882,31.6575
-0.033133,0.046661,0.981365,-0.18349,-0.034088,-0.05859,0.363255,-3.679007,0.549695,9.880145,5.894,0.022,0.109937,0.993939,-30.061882386,-51.175914996,31.6855
-0.029742,0.045654,0.974383,-0.218167,-0.024501,-0.036219,0.444216,-1.579027,2.285008,8.574169,5.955,0.038,0.150135,0.988665,-30.061883266,-51.175915061,31.6664
-0.024707,0.047299,0.966393,-0.251468,0.053263,0.03835,0.333428,2.324529,-3.522721,12.321439,6.003,0.055,0.189335,0.981913,-30.061884243,-51.17591501,31.6523
-0.022223,0.047836,0.956994,-0.285305,-0.085221,-0.057524,0.453803,1.374238,1.304179,9.97715,6.039,0.071,0.228236,0.973606,-30.061885125,-51.175915079,31.6771
-0.019202,0.049515,0.94652,-0.318237,0.006392,-0.029827,0.322775,-3.197574,0.147304,10.722652,6.063,0.084,0.266775,0.963759,-30.061886129,-51.175915033,31.6658
-0.014804,0.051327,0.935711,-0.348785,-0.067112,-0.063916,0.367516,2.667639,1.471243,9.880145,6.076,0.093,0.304892,0.952387,-30.061887018,-51.17591497,31.6681
-0.012421,0.054517,0.923491,-0.379602,0.054329,-0.043676,0.36219,-0.677239,-2.188003,10.370559,6.079,0.095,0.342527,0.939508,-30.06188795,-51.175914982,31.6668
-0.007956,0.057739,0.908922,-0.412869,0.054329,0.028762,0.278034,1.147893,-0.01976,10.575348,6.079,0.095,0.37962,0.925143,-30.061888824,-51.175915071,31.687
-0.005573,0.059082,0.894387,-0.443283,-0.010653,0.002131,0.448477,0.75628,-0.353889,10.311279,6.079,0.095,0.416112,0.909314,-30.061889704,-51.175914979,31.6629
-0.003055,0.061633,0.878979,-0.472454,0.008522,-0.017044,0.429302,0.136526,-0.127544,9.535238,6.079,0.095,0.451945,0.892046,-30.061890454,-51.175914895,31.6581
-0.000436,0.064654,0.863537,-0.500149,0.034088,0.02024,0.450607,2.196985,-0.008982,10.498103,6.079,0.095,0.487732,0.872993,-30.061890992,-51.175914748,31.6659
0.000537,0.064185,0.847759,-0.526501,-0.034088,0.028762,0.442085,-3.46344,1.893395,10.124454,6.079,0.095,0.522065,0.852906,-30.061891502,-51.175914603,31.6605
0.005438,0.064151,0.831209,-0.552249,-0.005326,0.031958,0.427171,-0.255087,-0.118562,10.104694,6.079,0.095,0.555571,0.831469,-30.061891894,-51.175914469,31.6599
0.009567,0.06546,0.812847,-0.578701,0.001065,0.057524,0.416519,3.571223,-0.901788,9.840624,6.079,0.095,0.588817,0.808266,-30.061892205,-51.175914314,31.6625
0.012085,0.066836,0.795357,-0.602334,-0.107592,0.01811,0.405866,-3.432901,3.797568,10.850196,6.079,0.095,0.620496,0.78421,-30.06189236,-51.175914171,31.6666
0.01665,0.065359,0.781057,-0.620998,-0.122505,-0.052198,0.313188,-4.591573,4.002357,11.125043,6.079,0.095,0.650612,0.75941,-30.061892434,-51.175914126,31.6672
0.021887,0.064822,0.761822,-0.644195,0.022371,-0.052198,0.394148,-4.473011,2.522132,10.124454,6.079,0.095,0.680859,0.732414,-30.061892384,-51.175914113,31.6664
0.025983,0.06499,0.744433,-0.664001,-0.001065,-0.03835,0.26099,-1.66705,0.32335,10.223255,6.079,0.096,0.707829,0.706384,-30.061892388,-51.175914076,31.6778
0.028836,0.070596,0.750307,-0.656683,0.003196,-0.005326,0.006392,-0.059281,0.490414,10.124454,6.078,0.129,0.715354,0.698763,-30.061892276,-51.175914041,31.6772
0.029474,0.074087,0.756048,-0.649633,-0.044741,-0.026632,0.008522,-0.294608,0.127544,10.467565,6.078,0.163,0.715888,0.698215,-30.061892251,-51.175914046,31.6747
0.030414,0.075229,0.762157,-0.642281,-0.011718,-0.007457,0.006392,0.391613,0.774244,10.007689,6.076,0.21,0.715888,0.698215,-30.061892241,-51.175914072,31.6715
0.029709,0.077881,0.768468,-0.634426,0.005326,-0.02024,-0.002131,-1.187414,0.853285,10.172957,6.075,0.268,0.715888,0.698215,-30.061892267,-51.175913986,31.6805
0.031723,0.077176,0.77488,-0.626571,0.043676,0.02024,0.02024,-0.481433,-0.883824,9.546016,6.073,0.339,0.715888,0.698215,-30.061892262,-51.175913983,31.6786
0.032092,0.079794,0.778741,-0.621401,-0.011718,0.002131,0.033023,1.088612,0.637718,10.702892,6.07,0.42,0.716422,0.697667,-30.061892222,-51.175913958,31.6831
0.031454,0.082547,0.78391,-0.614587,0.041545,0.025566,-0.02024,0.785022,0.73652,10.359781,6.067,0.514,0.716422,0.697667,-30.061892243,-51.175914007,31.6898
0.028702,0.087213,0.789584,-0.606732,-0.082025,0.001065,0.002131,-0.519157,4.287983,11.223845,6.064,0.62,0.716955,0.697119,-30.061892215,-51.175913931,31.6924
0.029507,0.089731,0.795223,-0.599279,-0.019175,-0.034088,0.042611,0.470654,-0.932326,8.681953,6.061,0.73,0.716955,0.697119,-30.061892141,-51.175913987,31.6944
0.036792,0.085232,0.80479,-0.586254,-0.208792,0.068177,0.013848,1.422741,1.176635,9.625058,6.054,0.949,0.716955,0.697119,-30.061892124,-51.175913579,31.6854
0.042364,0.083285,0.810497,-0.578265,-0.02024,-0.013848,0.014914,2.227524,-0.334129,10.144214,6.05,1.059,0.716955,0.697119,-30.061892109,-51.17591323,31.6722
0.042297,0.082278,0.816103,-0.570443,0.005326,0.066046,-0.013848,-0.921548,0.558677,8.349621,6.047,1.169,0.716955,0.697119,-30.061892129,-51.175912735,31.6802
0.039343,0.084561,0.821004,-0.563259,0.088417,-0.076699,-0.118244,-0.264069,-1.501782,9.271169,6.044,1.278,0.716422,0.697667,-30.061892136,-51.175912198,31.6788
0.038202,0.088589,0.825066,-0.556478,0.093743,-0.036219,0.033023,0.901788,0.510175,9.565777,6.04,1.388,0.716955,0.697119,-30.061892184,-51.175911394,31.6847
0.034912,0.088153,0.830337,-0.548757,0.085221,0.002131,-0.054329,2.108962,-0.481433,9.457993,6.037,1.498,0.716422,0.697667,-30.061892147,-51.175910637,31.6832
0.032159,0.088388,0.834902,-0.542782,0.007457,0.046872,0.067112,1.354478,2.678417,8.809497,6.033,1.608,0.716422,0.697667,-30.061892174,-51.175909757,31.7008
0.032965,0.085736,0.839467,-0.536068,-0.034088,-0.015979,-0.023436,0.941308,-1.873635,10.212477,6.03,1.717,0.716955,0.697119,-30.061892136,-51.175908732,31.7068
0.03226,0.08107,0.843664,-0.530227,-0.029827,-0.01811,0.017044,-3.129311,1.246695,9.114883,6.026,1.827,0.716955,0.697119,-30.06189216,-51.175907682,31.6988
0.031689,0.079089,0.852627,-0.515557,0.08096,-0.074569,0.028762,-1.765851,-1.266455,9.948408,6.019,2.047,0.716955,0.697119,-30.061892219,-51.175905432,31.6848
0.031757,0.081775,0.856017,-0.509448,0.06072,0.034088,-0.009587,0.696999,0.079041,9.662782,6.016,2.156,0.716955,0.697119,-30.061892202,-51.175904222,31.6864
0.033536,0.078686,0.859609,-0.503707,0.011718,-0.069242,-0.017044,0.519157,-1.235916,10.566366,6.012,2.266,0.716422,0.697667,-30.06189218,-51.175903229,31.6815
0.034341,0.07919,0.862697,-0.498303,-0.025566,-0.052198,-0.028762,-5.033485,0.991607,11.371149,6.009,2.376,0.716955,0.697119,-30.061892181,-51.175902287,31.6944
0.033939,0.082043,0.865249,-0.493402,0.084156,-0.077764,-0.028762,-0.549695,0.235327,8.653211,6.005,2.486,0.716955,0.697119,-30.061892143,-51.175901283,31.6783
0.034543,0.0853,0.867934,-0.488098,-0.003196,0.023436,0.024501,1.952676,2.188003,9.427455,6.002,2.596,0.716955,0.697119,-30.061892161,-51.175900299,31.6859
0.036993,0.082312,0.871425,-0.482659,0.024501,0.049002,0.015979,3.855053,-1.579027,11.390909,5.999,2.706,0.716955,0.697119,-30.061892233,-51.175899197,31.6663
0.036993,0.083151,0.874212,-0.47749,-0.024501,0.019175,0.022371,0.039521,1.108373,9.535238,5.995,2.815,0.716955,0.697119,-30.061892276,-51.175898077,31.69
0.038068,0.082345,0.876461,-0.472824,-0.001065,0.008522,0.013848,0.901788,0.932326,11.193306,5.992,2.925,0.716955,0.697119,-30.061892311,-51.175896923,31.6842
0.03555,0.082211,0.881966,-0.462719,-0.057524,0.001065,-0.049002,2.020939,3.80655,12.086112,5.985,3.145,0.716955,0.697119,-30.061892318,-51.17589487,31.6845
0.036456,0.082077,0.88492,-0.457012,-0.103331,0.008522,-0.106527,-1.147893,2.559856,11.193306,5.981,3.254,0.716955,0.697119,-30.061892307,-51.175893875,31.6681
0.039075,0.07778,0.886699,-0.454058,-0.105461,0.095874,0.062851,4.149661,-0.206585,10.517863,5.978,3.364,0.716955,0.697119,-30.061892287,-51.175892647,31.6772
0.038135,0.074625,0.888881,-0.450399,0.08096,0.046872,0.011718,-0.088023,-0.156286,9.713081,5.974,3.474,0.716955,0.697119,-30.061892317,-51.175891624,31.7102
0.036154,0.07825,0.890862,-0.446035,0.063916,-0.025566,-0.087352,-2.638897,0.980829,8.849017,5.971,3.584,0.716422,0.697667,-30.06189225,-51.175890632,31.7044
0.037262,0.077042,0.891768,-0.444357,0.112918,0.003196,0.135289,0.813765,-3.032306,9.790325,5.967,3.688,0.725434,0.688292,-30.06189228,-51.175889535,31.6928
0.03884,0.075464,0.88294,-0.461746,-0.105461,-0.06072,0.36006,-0.107783,2.020939,9.192128,5.959,3.781,0.751224,0.660047,-30.061892304,-51.17588842,31.6956
0.043741,0.066836,0.868304,-0.489541,-0.086286,0.046872,0.269512,-1.108373,3.384399,9.752601,5.945,3.86,0.77688,0.629649,-30.061892344,-51.175887377,31.676
0.046527,0.067541,0.854406,-0.513677,0.0,0.033023,0.396279,1.431723,-2.70716,8.191538,5.928,3.927,0.801306,0.598255,-30.061892204,-51.175886398,31.6835
0.048843,0.062472,0.822146,-0.563729,-0.026632,-0.045806,0.367516,-4.747859,-1.649086,10.095712,5.891,4.022,0.847132,0.531382,-30.061892189,-51.175884264,31.7091
0.05173,0.062674,0.804824,-0.587933,0.046872,0.011718,0.307862,0.961069,-3.15985,11.155582,5.875,4.051,0.867214,0.497935,-30.061892274,-51.175883127,31.7107
0.053375,0.059988,0.788576,-0.609686,-0.12144,-0.051133,0.384561,-4.767619,1.932916,11.028038,5.864,4.07,0.885976,0.463731,-30.061892321,-51.175881955,31.7152
0.056866,0.057236,0.770986,-0.631741,0.116114,0.025566,0.278034,2.011957,-4.767619,10.370559,5.858,4.077,0.904045,0.427437,-30.061892309,-51.175880979,31.7051
0.058612,0.056061,0.752087,-0.654031,-0.02024,-0.024501,0.485761,0.853285,-0.32335,10.988518,5.858,4.077,0.920329,0.391146,-30.061892287,-51.175879928,31.6973
0.059753,0.054584,0.731676,-0.676824,-0.061785,0.014914,0.389887,0.118562,3.032306,8.840035,5.858,4.077,0.935156,0.354235,-30.061892338,-51.175879005,31.7064
0.062439,0.053107,0.711166,-0.698208,0.057524,0.089482,0.379234,2.933505,-4.571813,11.390909,5.858,4.077,0.948746,0.316039,-30.061892298,-51.175878054,31.7137
0.065057,0.051764,0.69146,-0.717611,-0.062851,-0.053263,0.36006,-4.09038,2.227524,10.841214,5.858,4.077,0.960351,0.278792,-30.061892271,-51.175877351,31.6893
0.069018,0.049985,0.669775,-0.738088,-0.062851,0.035154,0.462325,3.80655,0.785022,9.526256,5.858,4.077,0.970863,0.239636,-30.061892265,-51.175876713,31.7001
0.075732,0.044144,0.628115,-0.773168,0.007457,-0.005326,0.285491,1.334718,-1.119151,10.447804,5.858,4.077,0.986837,0.161718,-30.061892101,-51.175875896,31.7093
0.077579,0.042599,0.604952,-0.791329,-0.017044,0.025566,0.393083,2.44309,-1.088612,9.898109,5.858,4.077,0.992581,0.121585,-30.061891968,-51.175875652,31.7211
0.079626,0.039008,0.58048,-0.809423,-0.008522,-0.029827,0.358994,-0.353889,0.235327,10.595108,5.858,4.077,0.996631,0.082014,-30.061891883,-51.175875517,31.7292
0.081741,0.03743,0.558459,-0.82463,-0.053263,-0.028762,0.418649,0.617958,1.638308,9.378952,5.858,4.077,0.999104,0.042314,-30.061891877,-51.17587547,31.7263
0.084897,0.036792,0.535632,-0.839367,-0.002131,0.028762,0.309992,2.108962,-0.6467,10.790915,5.858,4.077,1.0,0.000251,-30.061891828,-51.175875538,31.7231
0.085602,0.036188,0.520458,-0.8488,0.007457,0.006392,0.093743,0.598198,0.844303,9.97715,5.853,4.077,0.999648,-0.026521,-30.061891798,-51.175875508,31.7269
0.083554,0.037262,0.527709,-0.844469,0.005326,0.001065,0.006392,-0.402391,-0.28383,10.320261,5.837,4.076,0.999607,-0.02805,-30.061891777,-51.175875538,31.7199
0.082379,0.039746,0.536068,-0.839568,0.008522,-0.005326,0.019175,-0.206585,0.28383,10.135232,5.808,4.074,0.999585,-0.028815,-30.061891784,-51.175875519,31.7244
0.081607,0.041122,0.54342,-0.834365,-0.023436,-0.011718,0.029827,0.353889,0.107783,9.810086,5.767,4.072,0.999585,-0.028815,-30.061891726,-51.175875508,31.7372
0.082715,0.044311,0.557015,-0.82557,-0.025566,-0.025566,-0.011718,-0.501193,2.001178,9.99691,5.651,4.064,0.99954,-0.030344,-30.061891688,-51.175875519,31.7294
0.083084,0.045386,0.564233,-0.820568,-0.010653,0.001065,0.009587,-0.30359,0.362871,10.045413,5.575,4.059,0.99954,-0.030344,-30.061891655,-51.175875569,31.7263
0.08577,0.043002,0.570544,-0.815398,-0.061785,-0.029827,-0.007457,-2.522132,-1.02035,9.497514,5.487,4.053,0.99954,-0.030344,-30.061891672,-51.175875582,31.7305
0.087347,0.044681,0.579104,-0.809826,-0.11931,0.053263,-0.027697,3.089791,2.522132,11.635218,5.387,4.046,0.99954,-0.030344,-30.061891669,-51.175875618,31.7123
